r,my_best_acc,supcon_acc,kfda_acc,label,task
1,0.7976190476190477,0.6904761904761905,0.6547619047619048,A,sonar
2,0.8095238095238095,0.7261904761904762,0.6547619047619048,A,sonar
3,0.7976190476190477,0.8214285714285714,0.6547619047619048,A,sonar
4,0.8095238095238095,0.8452380952380952,0.6547619047619048,A,sonar
5,0.8690476190476191,0.8333333333333334,0.6547619047619048,A,sonar
6,0.8214285714285714,0.8690476190476191,0.6547619047619048,A,sonar
32,0.9047619047619048,0.8571428571428571,0.6547619047619048,A,sonar
64,0.7142857142857143,0.8452380952380952,0.6547619047619048,A,sonar
1,0.979456593770709,0.94831013916501,0.94831013916501,B,hypothyroid
2,0.9662027833001988,0.94831013916501,0.94831013916501,B,hypothyroid
3,0.9648774022531478,0.94831013916501,0.94831013916501,B,hypothyroid
4,0.9655400927766732,0.94831013916501,0.94831013916501,B,hypothyroid
5,0.9542743538767396,0.94831013916501,0.94831013916501,B,hypothyroid
6,0.9502982107355864,0.94831013916501,0.94831013916501,B,hypothyroid
32,0.9642147117296224,0.9595758780649436,0.94831013916501,B,hypothyroid
64,0.9768058316766072,0.9688535453943008,0.94831013916501,B,hypothyroid
