r,my_large_acc,my_small_acc,supcon_acc,kfda_acc,kfda_kernel,my_best_acc,my_best_family,margin_vs_kfda,margin_vs_supcon,openml_id,dataset
1,0.7043478260869566,0.7043478260869566,0.6347826086956522,0.7217391304347827,rbf,0.7043478260869566,MY-large_mu,-0.017391304347826098,0.06956521739130439,13,breast-cancer
2,0.7043478260869566,0.7043478260869566,0.6956521739130435,0.7217391304347827,rbf,0.7043478260869566,MY-large_mu,-0.017391304347826098,0.008695652173913104,13,breast-cancer
3,0.7043478260869566,0.6695652173913044,0.6956521739130435,0.7217391304347827,rbf,0.7043478260869566,MY-large_mu,-0.017391304347826098,0.008695652173913104,13,breast-cancer
4,0.6782608695652174,0.6521739130434783,0.7043478260869566,0.7217391304347827,rbf,0.6782608695652174,MY-large_mu,-0.0434782608695653,-0.026086956521739202,13,breast-cancer
5,0.7043478260869566,0.6695652173913044,0.7043478260869566,0.7217391304347827,rbf,0.7043478260869566,MY-large_mu,-0.017391304347826098,0.0,13,breast-cancer
6,0.6869565217391305,0.7043478260869566,0.6956521739130435,0.7217391304347827,rbf,0.7043478260869566,MY-small_mu,-0.017391304347826098,0.008695652173913104,13,breast-cancer
32,0.7130434782608696,0.7130434782608696,0.591304347826087,0.7217391304347827,rbf,0.7130434782608696,MY-large_mu,-0.008695652173913104,0.12173913043478257,13,breast-cancer
64,0.7217391304347827,0.7217391304347827,0.6,0.7217391304347827,rbf,0.7217391304347827,MY-large_mu,0.0,0.12173913043478268,13,breast-cancer
1,0.9714285714285714,0.85,0.9714285714285714,0.975,laplacian,0.9714285714285714,MY-large_mu,-0.0035714285714285587,0.0,15,breast-w
2,0.9642857142857144,0.8857142857142857,0.975,0.975,laplacian,0.9642857142857144,MY-large_mu,-0.010714285714285565,-0.010714285714285565,15,breast-w
3,0.9607142857142856,0.9214285714285714,0.975,0.975,laplacian,0.9607142857142856,MY-large_mu,-0.014285714285714346,-0.014285714285714346,15,breast-w
4,0.9642857142857144,0.95,0.975,0.975,laplacian,0.9642857142857144,MY-large_mu,-0.010714285714285565,-0.010714285714285565,15,breast-w
5,0.9642857142857144,0.95,0.975,0.975,laplacian,0.9642857142857144,MY-large_mu,-0.010714285714285565,-0.010714285714285565,15,breast-w
6,0.9607142857142856,0.9571428571428572,0.9678571428571427,0.975,laplacian,0.9607142857142856,MY-large_mu,-0.014285714285714346,-0.0071428571428571175,15,breast-w
32,0.9607142857142856,0.9607142857142856,0.9642857142857144,0.975,laplacian,0.9607142857142856,MY-large_mu,-0.014285714285714346,-0.003571428571428781,15,breast-w
64,0.9642857142857144,0.9607142857142856,0.95,0.975,laplacian,0.9642857142857144,MY-large_mu,-0.010714285714285565,0.014285714285714457,15,breast-w
1,0.73,0.705,0.735,0.725,linear,0.73,MY-large_mu,0.0050000000000000044,-0.0050000000000000044,31,credit-g
2,0.725,0.7075,0.74,0.725,linear,0.725,MY-large_mu,0.0,-0.015000000000000013,31,credit-g
3,0.725,0.71,0.7075,0.725,linear,0.725,MY-large_mu,0.0,0.01749999999999996,31,credit-g
4,0.7175,0.7075,0.7125,0.725,linear,0.7175,MY-large_mu,-0.007499999999999951,0.0050000000000000044,31,credit-g
5,0.73,0.695,0.72,0.725,linear,0.73,MY-large_mu,0.0050000000000000044,0.010000000000000009,31,credit-g
6,0.7075,0.71,0.7125,0.725,linear,0.71,MY-small_mu,-0.015000000000000013,-0.0025000000000000577,31,credit-g
32,0.72,0.7125,0.72,0.725,linear,0.72,MY-large_mu,-0.0050000000000000044,0.0,31,credit-g
64,0.7075,0.7075,0.7025,0.725,linear,0.7075,MY-large_mu,-0.01749999999999996,0.0050000000000000044,31,credit-g
1,0.9945887445887446,0.8571428571428571,0.8712121212121212,0.935064935064935,laplacian,0.9945887445887446,MY-large_mu,0.059523809523809534,0.12337662337662336,36,segment
2,0.9935064935064936,0.9025974025974026,0.8896103896103896,0.935064935064935,laplacian,0.9935064935064936,MY-large_mu,0.05844155844155852,0.10389610389610393,36,segment
3,0.9913419913419912,0.9047619047619048,0.985930735930736,0.935064935064935,laplacian,0.9913419913419912,MY-large_mu,0.05627705627705615,0.0054112554112552,36,segment
4,0.9913419913419912,0.9372294372294372,0.9848484848484848,0.935064935064935,laplacian,0.9913419913419912,MY-large_mu,0.05627705627705615,0.00649350649350644,36,segment
5,0.9935064935064936,0.9523809523809524,0.9924242424242424,0.935064935064935,laplacian,0.9935064935064936,MY-large_mu,0.05844155844155852,0.0010822510822511289,36,segment
6,0.9902597402597404,0.9632034632034632,0.9924242424242424,0.935064935064935,laplacian,0.9902597402597404,MY-large_mu,0.05519480519480535,-0.0021645021645020357,36,segment
32,0.9945887445887446,0.9945887445887446,0.9945887445887446,0.935064935064935,laplacian,0.9945887445887446,MY-large_mu,0.059523809523809534,0.0,36,segment
64,1.0,0.9913419913419912,0.9945887445887446,0.935064935064935,laplacian,1.0,MY-large_mu,0.06493506493506496,0.005411255411255422,36,segment
1,0.75,0.6688311688311688,0.7272727272727273,0.7435064935064936,linear,0.75,MY-large_mu,0.00649350649350644,0.022727272727272707,37,diabetes
2,0.7467532467532467,0.672077922077922,0.75,0.7435064935064936,linear,0.7467532467532467,MY-large_mu,0.0032467532467531646,-0.0032467532467532756,37,diabetes
3,0.7435064935064936,0.672077922077922,0.7402597402597403,0.7435064935064936,linear,0.7435064935064936,MY-large_mu,0.0,0.0032467532467532756,37,diabetes
4,0.7402597402597403,0.6753246753246753,0.7532467532467533,0.7435064935064936,linear,0.7402597402597403,MY-large_mu,-0.0032467532467532756,-0.012987012987012991,37,diabetes
5,0.7402597402597403,0.672077922077922,0.7564935064935064,0.7435064935064936,linear,0.7402597402597403,MY-large_mu,-0.0032467532467532756,-0.016233766233766156,37,diabetes
6,0.724025974025974,0.6623376623376623,0.7662337662337663,0.7435064935064936,linear,0.724025974025974,MY-large_mu,-0.019480519480519543,-0.04220779220779225,37,diabetes
32,0.7142857142857143,0.7435064935064936,0.7662337662337663,0.7435064935064936,linear,0.7435064935064936,MY-small_mu,0.0,-0.022727272727272707,37,diabetes
64,0.762987012987013,0.7597402597402597,0.7727272727272727,0.7435064935064936,linear,0.762987012987013,MY-large_mu,0.01948051948051943,-0.009740259740259716,37,diabetes
1,0.7976190476190477,0.6547619047619048,0.6904761904761905,0.6547619047619048,laplacian,0.7976190476190477,MY-large_mu,0.1428571428571429,0.1071428571428572,40,sonar
2,0.8095238095238095,0.6904761904761905,0.7261904761904762,0.6547619047619048,laplacian,0.8095238095238095,MY-large_mu,0.15476190476190477,0.08333333333333337,40,sonar
3,0.7976190476190477,0.6428571428571429,0.8214285714285714,0.6547619047619048,laplacian,0.7976190476190477,MY-large_mu,0.1428571428571429,-0.023809523809523725,40,sonar
4,0.8095238095238095,0.6904761904761905,0.8452380952380952,0.6547619047619048,laplacian,0.8095238095238095,MY-large_mu,0.15476190476190477,-0.0357142857142857,40,sonar
5,0.8690476190476191,0.75,0.8333333333333334,0.6547619047619048,laplacian,0.8690476190476191,MY-large_mu,0.2142857142857143,0.0357142857142857,40,sonar
6,0.8214285714285714,0.7380952380952381,0.8690476190476191,0.6547619047619048,laplacian,0.8214285714285714,MY-large_mu,0.16666666666666663,-0.04761904761904767,40,sonar
32,0.9047619047619048,0.7142857142857143,0.8571428571428571,0.6547619047619048,laplacian,0.9047619047619048,MY-large_mu,0.25,0.04761904761904767,40,sonar
64,0.7142857142857143,0.6309523809523809,0.8452380952380952,0.6547619047619048,laplacian,0.7142857142857143,MY-large_mu,0.059523809523809534,-0.13095238095238093,40,sonar
1,0.9420062695924764,0.7594043887147336,0.9608150470219436,0.9310344827586208,laplacian,0.9420062695924764,MY-large_mu,0.010971786833855579,-0.018808777429467294,46,splice
2,0.9420062695924764,0.7594043887147336,0.9600313479623824,0.9310344827586208,laplacian,0.9420062695924764,MY-large_mu,0.010971786833855579,-0.018025078369906078,46,splice
3,0.9404388714733544,0.7594043887147336,0.9608150470219436,0.9310344827586208,laplacian,0.9404388714733544,MY-large_mu,0.009404388714733591,-0.02037617554858928,46,splice
4,0.9396551724137931,0.768025078369906,0.9608150470219436,0.9310344827586208,laplacian,0.9396551724137931,MY-large_mu,0.008620689655172376,-0.021159874608150497,46,splice
5,0.9412225705329154,0.7782131661442007,0.9608150470219436,0.9310344827586208,laplacian,0.9412225705329154,MY-large_mu,0.010188087774294585,-0.019592476489028288,46,splice
6,0.9427899686520376,0.7727272727272727,0.9608150470219436,0.9310344827586208,laplacian,0.9427899686520376,MY-large_mu,0.011755485893416795,-0.018025078369906078,46,splice
