task,rep,family,method,algo,r,stage1_kernel,acc,openml_id
banana,0,KFDA,KFDA-1D,kfda,1,linear,0.6834905660377358,1460
banana,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.6075471698113207,1460
banana,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.6268867924528302,1460
banana,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.6820754716981132,1460
banana,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.7113207547169811,1460
banana,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.7202830188679246,1460
banana,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.7278301886792453,1460
banana,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.839622641509434,1460
banana,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.845754716981132,1460
banana,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.5518867924528302,1460
banana,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.5981132075471698,1460
banana,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.6349056603773585,1460
banana,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6518867924528302,1460
banana,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.6693396226415095,1460
banana,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.7004716981132075,1460
banana,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.8349056603773585,1460
banana,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.8363207547169811,1460
banana,0,KFDA,KFDA-1D,kfda,1,rbf,0.6768867924528302,1460
banana,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.7962264150943397,1460
banana,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.7976415094339623,1460
banana,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.7990566037735849,1460
banana,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.8033018867924528,1460
banana,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.814622641509434,1460
banana,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.8207547169811321,1460
banana,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.8330188679245283,1460
banana,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.8287735849056603,1460
banana,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.6094339622641509,1460
banana,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6179245283018868,1460
banana,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6367924528301887,1460
banana,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6278301886792453,1460
